rawLabel,normalizedLabel,documentCode,confidence,language,source,notes
CIN,cin,DOC_ID_CIN,high,fr,seed,
Carte d'identité nationale,carte identite nationale,DOC_ID_CIN,high,fr,seed,
Photocopie CIN,photocopie cin,DOC_ID_CIN,medium,fr,seed,Variante de format
Acte de naissance,acte naissance,DOC_CIV_BIRTH,high,fr,seed,
Certificat de résidence,certificat residence,DOC_RES_CERT,high,fr,seed,
"Certificat de résidence,",certificat de residence ,DOC_RES_CERT,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=18
Réquisition,requisition,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=17
Certificat de résidence,certificat de residence,DOC_RES_CERT,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=16
Une chemise ordinaire,une chemise ordinaire,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=15
Avis de crédit,avis de credit,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=15
"Demande manuscrite ou par mail adressée au DG de l'INSTN, incluant la demande de facture pro forma",demande manuscrite ou par mail adressee au dg de l instn incluant la demande de facture pro forma,DOC_REQ_APPLICATION_LETTER,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=14
Demande adressée au Directeur Général de l'INSPC avec l'avis favorable du chef hiérarchique,demande adressee au directeur general de l inspc avec l avis favorable du chef hierarchique,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=13
CV détaillé,cv detaille,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=13
Extrait d'acte de naissance moins d'un an,extrait d acte de naissance moins d un an,DOC_CIV_BIRTH,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=13
Récépissé du versement de droit d'inscription au concours,recepisse du versement de droit d inscription au concours,DOC_PAY_RECEIPT,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=13
Certificat de résidence moins de 3 mois,certificat de residence moins de 3 mois,DOC_RES_CERT,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=13
Casier judiciaire (bulletin N°3) moins de trois mois pour le candidat non-fonctionnaire,casier judiciaire bulletin n 3 moins de trois mois pour le candidat non fonctionnaire,DOC_JUD_CRIMINAL_RECORD,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=13
Deux enveloppes timbrées à 1600 ariary,deux enveloppes timbrees a 1600 ariary,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=13
Photocopie certifiée du diplôme,photocopie certifiee du diplome,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=13
Chemise de demande de travaux (TOPO),chemise de demande de travaux topo ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=12
Duplicata du titre ou extrait matriciel,duplicata du titre ou extrait matriciel,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=12
Carnet fokontany,carnet fokontany,DOC_RES_CERT,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=11
"Certificat de Situation Juridique de moins de 3 mois,",certificat de situation juridique de moins de 3 mois ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=10
"Photocopie certifiée de la Carte d’Identité Nationale,",photocopie certifiee de la carte d identite nationale ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=10
Fiche de demande à télécharger sur le site www.cnarp.mesupres.edu.mg ou à récupérer auprès du CNARP,fiche de demande a telecharger sur le site www cnarp mesupres edu mg ou a recuperer aupres du cnarp,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=10
"Demande de service adressée au Directeur Général de l'INSTN,",demande de service adressee au directeur general de l instn ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=10
Néant,neant,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=10
"Demande mentionnant le motif de séjour adressée à Monsieur le Ministre de l'Intérieur et de la Décentralisation,",demande mentionnant le motif de sejour adressee a monsieur le ministre de l interieur et de la decentralisation ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=9
"02 photographies d'identité récentes (non scannées),",02 photographies d identite recentes non scannees ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=9
"Photocopie certifiée du passeport,",photocopie certifiee du passeport ,DOC_ID_CIN,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=9
"Certificat d'hébergement et de prise en charge (signature légalisée à la Mairie) ou contrat de bail ou titre foncier,",certificat d hebergement et de prise en charge signature legalisee a la mairie ou contrat de bail ou titre foncier ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=9
"Certificat de résidence original,",certificat de residence original ,DOC_RES_CERT,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=9
certificat administratif,certificat administratif,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=9
"Acte de naissance,",acte de naissance ,DOC_CIV_BIRTH,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=8
"Certificat d'inscription au registre de recensement des étrangers délivré par les districts ou les Préfectures pour la Première demande et renouvellement,",certificat d inscription au registre de recensement des etrangers delivre par les districts ou les prefectures pour la premiere demande et renouvellement ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=8
